,0
0,"-60,45188394603446"
1,"-60,15736993149681"
2,"-59,34836955021864"
3,"-56,62466215951371"
4,"-55,44414227726435"
5,"-54,08940417435998"
6,"-54,454263083318075"
7,"-54,89140134288736"
8,"-55,22124864913655"
9,"-56,57840548082576"
10,"-58,413042822945165"
11,"-59,98459835320896"
12,"-62,12629859710751"
13,"-59,9800538970894"
14,"-56,648896928574075"
15,"-47,69102607893622"
16,"-37,70376803986745"
17,"-27,272711056673604"
18,"-19,085525865858"
19,"-12,169216850170965"
20,"-5,919227854373865"
21,"-2,239609696804023"
22,"1,4596327940749485"
