,0
0,"-60,10071921163223"
1,"-60,07909742056975"
2,"-59,396521889854384"
3,"-56,89736097348576"
4,"-56,080413405424316"
5,"-55,14678192390235"
6,"-55,93072076809581"
7,"-56,650928137545165"
8,"-57,24125295138023"
9,"-58,86334076987598"
10,"-61,132201616738044"
11,"-62,94886759667059"
12,"-65,39031477363359"
13,"-63,37495696395873"
14,"-60,178809642773416"
15,"-51,09233843333452"
16,"-40,85650419033221"
17,"-30,234048181086447"
18,"-21,951687805015972"
19,"-14,82778619085115"
20,"-8,34370062085493"
21,"-4,560038101063804"
22,"-0,7144794337413022"
