,0
0,"-60,55321524806675"
1,"-60,383583783452224"
2,"-59,623855845110604"
3,"-56,98061083794509"
4,"-55,955321874172334"
5,"-54,78465790313717"
6,"-55,345507371010015"
7,"-55,91710800285347"
8,"-56,37801355033613"
9,"-57,865246870982325"
10,"-59,91591782310243"
11,"-61,61006852248615"
12,"-63,904101232938785"
13,"-61,81864441245245"
14,"-58,54583338172223"
15,"-49,48614093946399"
16,"-39,338074945733766"
17,"-28,7625874242628"
18,"-20,48024774970539"
19,"-13,416477732323802"
20,"-7,008517620029455"
21,"-3,24185310554799"
22,"0,5509063221005479"
