,0,1,2,3,4
0,"3,8820472","2,652558","0,019212846","4,628006","-2,6664507"
1,"3,6396556","2,6593356","0,016091762","5,045831","-2,5535703"
2,"3,5244095","2,8175862","0,06599321","4,9588475","-2,556136"
3,"3,2819157","3,1498778","0,17049739","4,62948","-2,528053"
4,"2,8986516","3,4077663","0,22632918","4,5798826","-2,3357778"
5,"2,4366734","3,5674016","0,24650681","4,7013655","-2,058765"
6,"2,0468254","3,800573","0,14917937","4,6781964","-1,5721551"
7,"1,7943953","4,0576963","0,04244611","4,485688","-1,1159629"
8,"1,5245354","4,0316954","-0,113606244","4,7052875","-0,5985407"
9,"1,2975234","4,11241","-0,19011453","4,6190248","-0,26070374"
10,"0,92632717","4,1841307","-0,37817508","4,5726666","0,37495303"
11,"0,7505289","4,310839","-0,46735987","4,402267","0,7284067"
12,"0,5628089","4,3056846","-0,5527557","4,503006","1,0192178"
13,"0,30568638","4,16499","-0,68891716","4,7680097","1,4321294"
14,"-0,039863266","3,935922","-0,8402784","5,059655","1,9118216"
15,"-0,47555956","3,8909924","-0,8290623","5,104173","2,1848142"
16,"-0,97978204","3,653655","-0,775584","5,3422337","2,408444"
17,"-1,675639","3,4402525","-0,5190999","5,4237714","2,3809102"
18,"-2,3659623","3,4929347","-0,14472763","5,0424404","2,1663709"
19,"-2,7666128","3,752326","0,4400077","4,1850524","1,4072636"
20,"-2,82033","3,6502664","1,1301956","3,417311","0,15639234"
21,"-2,567564","3,5738392","1,5906018","2,5888727","-0,88154906"
22,"-2,660011","3,6106544","1,8155937","1,6567657","-1,1843996"
