,0,1,2,3,4
0,"0,8848134","0,40579143","28,1014","-0,52197367","0,26699114"
1,"0,067205586","-0,054242175","-0,014315332","0,41131318","-0,1151999"
2,"-0,0033402755","104,568634","0,07622947","-0,32936776","0,416763"
3,"38,04448","36,639122","32,72616","31,028297","36,06025"
4,"42,93323","-0,42771354","53,074936","-0,5958511","0,65325046"
5,"0,10994995","0,06780214","0,08456882","-0,09390108","0,1252703"
6,"0,059177022","0,05247191","0,10181125","0,05564397","-0,00042036275"
7,"0,4527456","0,6970656","-133,79147","0,19980292","-0,36270264"
8,"0,042523727","0,046077155","0,057228386","-0,033933677","0,14606413"
9,"0,20456755","0,14618541","-1,7941916","-0,0012018556","-0,049405802"
10,"0,15981053","-0,2013311","-0,051404987","-0,07573009","0,064952604"
11,"-0,020945052","0,033440832","0,0068564345","0,08226477","-0,08613325"
12,"-0,048736554","-0,12740056","0,20919038","-0,037043158","0,010994245"
13,"-0,005437244","0,0077727754","0,0012088667","0,67764705","-0,78747314"
14,"-0,0014136106","0,006084123","-0,12094396","-0,036125254","0,03611253"
15,"2,2434874","1,3066591","1,7048922","1,2783587","0,0632269"
16,"2,0688","4,1486006","2,867746","18,559505","6,247094"
17,"71,71862","0,12506962","0,6220027","0,2019782","-0,28158808"
18,"5,6677003","8,377317","15,785163","29,371048","20,319157"
19,"57,32221","-0,17211406","0,3104718","0,34920335","-0,44912988"
