,0,1,2,3,4
0,"0,8754769","1,7036294","1,4970005","-0,5092092","-12,058664"
1,"-0,73889863","-0,09253385","0,012807084","-1,6161623","-0,3420339"
2,"-10,278082","2,2878122","0,77089435","0,48788908","6,196664"
3,"2,3981266","-8,673431","-25,653755","-2,4675145","-5,71327"
4,"-1,2923639","2,7506194","1,3207191","1,2084926","3,918065"
5,"-0,49613988","0,18707238","3,2339644","0,8678957","2,1188722"
6,"0,16325197","-0,84902114","0,14002353","0,5769356","0,5109232"
7,"2,7095048","-0,8503614","2,59207","-0,43221584","2,9868784"
8,"0,24637176","-0,32070008","0,1254347","0,950006","-0,07911141"
9,"-1,637412","-1,9586198","-7,6697845","2,5438373","2,8573875"
10,"-1,0699991","0,38810635","-0,16706677","0,1540295","-0,49745834"
11,"0,26912215","-0,058144074","0,0025698764","0,80837625","0,022271084"
12,"-0,9259126","-0,01352706","0,30261305","0,3683475","1,6993743"
13,"-0,26156288","-2,300722","0,023568941","-1,867213","0,05705527"
14,"0,3426745","0,096757315","-0,14517787","0,08441562","-0,6807313"
15,"5,8863106","-4,014","-1,4809434","-0,62764674","-25,468191"
16,"4,6625032","-3,2673173","-1,8166878","-4,868564","-10,293197"
17,"2,1200757","-0,7973597","-1,5383871","-1,0478542","4,212865"
18,"-6,041272","-0,4691487","-11,618051","-14,308609","-5,637546"
19,"-3,6702375","-1,362164","-5,490489","-0,7735374","-0,33278364"
